"date","daily_sales"
2015-09-04,2960.95
2015-09-05,2537.80
2015-09-06,1491.65
2015-09-07,2283.35
2015-09-08,2249.50
2015-09-09,2580.10
2015-09-10,2415.85
2015-09-11,2761.90
2015-09-12,2588.15
2015-09-13,1838.15
2015-09-14,2165.25
2015-09-15,2550.20
2015-09-16,2185.25
2015-09-17,2242.05
2015-09-18,2721.55
2015-09-19,2286.55
2015-09-20,1829.00
2015-09-21,2131.45
2015-09-22,2170.40
2015-09-23,2163.00
2015-09-26,2246.85
2015-09-27,2314.70
2015-09-28,2035.30
2015-09-29,2762.05
2015-09-30,2198.05
2015-10-01,3202.15
2015-10-02,2074.85
2015-10-03,2400.95
2015-10-04,2142.20
2015-10-06,2215.95
2015-10-07,2092.35
2015-10-08,1975.85
2015-10-09,2512.60
2015-10-10,2310.20
2015-10-11,1916.25
2015-10-13,2325.95
2015-10-14,2146.35
2015-10-15,4320.20
2015-10-16,2555.10
2015-10-17,2339.80
2015-10-18,1795.30
2015-10-20,2437.15
2015-10-21,2460.50
2015-10-22,2400.90
2015-10-23,2610.65
2015-10-24,2679.50
2015-10-25,1837.05
2015-10-27,1988.65
2015-10-28,1635.95
2015-10-29,2169.75
2015-10-30,2736.60
2015-10-31,2744.85
2015-11-01,1986.65
2015-11-02,2299.10
2015-11-03,1828.55
2015-11-04,1966.10
2015-11-05,2180.35
2015-11-06,3157.50
2015-11-07,2580.95
2015-11-08,2110.15
2015-11-09,2483.75
2015-11-10,2042.60
2015-11-11,1946.20
2015-11-12,2564.80
2015-11-13,2264.55
2015-11-14,2324.75
2015-11-15,1821.65
2015-11-16,2256.65
2015-11-17,1956.55
2015-11-18,2111.70
2015-11-19,2694.90
2015-11-20,2388.10
2015-11-21,2083.95
2015-11-22,1368.70
2015-11-23,2465.15
2015-11-24,2230.05
2015-11-25,2363.25
2015-11-26,4405.95
2015-11-27,4422.45
2015-11-28,1968.05
2015-11-29,1899.00
2015-11-30,2223.25
2015-12-01,2076.70
2015-12-02,2214.10
2015-12-03,2243.20
2015-12-04,2878.35
2015-12-05,2627.95
2015-12-06,2350.25
2015-12-07,2414.80
2015-12-08,1856.25
2015-12-09,2571.55
2015-12-10,1985.60
2015-12-11,2634.00
2015-12-12,1960.15
2015-12-13,2245.15
2015-12-14,2172.60
2015-12-15,2387.45
2015-12-16,2234.80
2015-12-17,1880.75
2015-12-18,2886.30
2015-12-19,2304.20
2015-12-20,2104.90
2015-12-21,2100.70
2015-12-22,1882.95
2015-12-23,2244.30
2015-12-24,2137.85
2015-12-26,1643.05
2015-12-27,1419.00
2015-12-28,1637.20
2015-12-29,1353.25
2015-12-30,1337.80
2015-12-31,2916.00
